id;title;author;isbn;synopsis;shareable;book_cover
78;Goodbye to All That;Juline Wrightam;073565638-X;condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam;false;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
79;My Wife is an Actress (Ma Femme est une Actrice);Delainey Stoneham;159212811-4;faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
80;Cops;Trudi Harby;208690973-X;metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
81;God Bless America;Kimbell Labbet;898156798-0;primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
82;Anne of the Thousand Days;Emlyn Jeaves;068830562-8;odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
83;Trailer Park Jesus;Catie Tebbe;710619189-2;posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices;false;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
84;The Blood of Fu Manchu;Pepe Maltby;223729708-8;erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
85;Sister Kenny;Bard Furmedge;680177432-8;dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor;false;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
86;Thank Your Lucky Stars;Mercie Skewis;886821894-1;malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis;false;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
87;"Amityville Horror; The";Kaitlyn Reany;239506393-2;in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
88;Terra (a.k.a. Battle for Terra);Donalt Brimner;602477035-9;lobortis est phasellus sit amet erat nulla tempus vivamus in;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
89;Coupe de Ville;Alysia Graffham;637784791-2;consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie;false;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
90;I Bury the Living;Roz Toman;320691580-5;mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
91;Liberty Stands Still;Wanda Longcake;328799738-6;sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
92;"Lady from Shanghai; The";Brnaby Bonnar;891647914-2;sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
93;Bubble Boy;Amara Woolpert;246583867-9;sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
94;September;Gussy Chittim;890668950-0;lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
95;At the River I Stand;Jessey Iacopo;389567688-8;viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
96;Forks Over Knives;Margaux Alderton;304286943-1;quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec;true;851dfd89-6ef2-4e9c-8c52-f0783bd1edeb
